claim_id,text,source_section,source_line,claim_type,strength,status,risk_level,reason,suggested_revision
C001,This synthetic manuscript describes a human-in-the-loop and explainable workflow for oocyte injection guidance in a controlled microscopy benchmark.,Abstract,4,workflow_claim,weak,supported,high,Linked to 2 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C002,The proposed harness improves segmentation Dice and IoU over a baseline visual model in the accompanying synthetic table.,Abstract,4,performance_claim,strong,supported,low,Linked to 6 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C003,"It enables auditable review by recording intermediate evidence, low-confidence regions, and replayable trace notes.",Abstract,4,workflow_claim,moderate,supported,low,Linked to 8 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C004,"Although the prototype is not clinically validated, one intentionally overclaimed sentence says the workflow is clinically ready for deployment so the audit pipeline can flag it later.",Abstract,4,clinical_claim,high,overclaimed,high,Clinical deployment language appears without external validation or safety evidence.,Reframe as a synthetic benchmark observation and route to human review.
C005,"Micromanipulation guidance requires reliable visual boundaries around the oocyte membrane, zona pellucida, and injection region.",Introduction,8,robustness_claim,moderate,supported,high,Linked to 2 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C006,"A lightweight harness reduces the risk of opaque model output by separating the task specification, selected context, evidence table, and review decision.",Introduction,8,workflow_claim,weak,supported,low,Linked to 5 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C007,"The first design goal is to make every guidance claim traceable to a table row, a text passage, or a limitation statement.",Introduction,8,novelty_claim,weak,weakly_supported,low,"Linked only to narrative, citation, trace, or limitation evidence (1 item(s)).",Add quantitative evidence or narrow the wording.
C008,"The workflow uses an explainable segmentation summary, a confidence note, and a structured trace replay for each synthetic microscopy frame.",Methods,12,workflow_claim,weak,supported,low,Linked to 2 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C009,The human review gate supports manual inspection when boundary confidence is low or when the model highlights an ambiguous injection region.,Methods,12,workflow_claim,moderate,supported,low,Linked to 6 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C010,"Trace replay enables reviewers to see which table metrics, ablation rows, and limitation notes were available before a claim was labeled.",Methods,12,workflow_claim,moderate,supported,low,Linked to 4 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C011,"The explainable_guidance_v1 model outperforms the baseline_unet model on Dice, IoU, precision, and recall in the synthetic metric table.",Results,16,performance_claim,strong,supported,low,Linked to 5 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C012,Adding the human review gate increases Dice from 0.88 to 0.89 and IoU from 0.78 to 0.80 in the controlled benchmark.,Results,16,performance_claim,strong,supported,low,Linked to 5 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C013,"The full harness improves workflow success rate from 0.71 in the vision-only setting to 0.86 when evidence logging, human review, and trace replay are all enabled.",Results,16,performance_claim,strong,supported,low,Linked to 7 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C014,The compact detector is less reliable around faint zona boundaries despite being faster in informal synthetic checks.,Results,16,robustness_claim,moderate,supported,low,Linked to 2 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C015,The table evidence supports claims about segmentation metrics and workflow ablation under the synthetic benchmark.,Discussion,20,workflow_claim,moderate,supported,low,Linked to 2 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C016,The workflow is robust to missing trace commentary only in the narrow sense that CSV metrics can still be inspected manually.,Discussion,20,robustness_claim,moderate,supported,low,Linked to 1 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
C017,"The manuscript overclaims if it says the system is ready for real-world clinical deployment because no external validation, operator study, or safety review is included.",Discussion,20,clinical_claim,high,overclaimed,high,Clinical deployment language appears without external validation or safety evidence.,Reframe as a synthetic benchmark observation and route to human review.
C018,"ClaimHarness enables a compact demonstration of claim extraction, evidence linking, conservative verification, human-review routing, and trace logging for scientific writing.",Conclusion,24,workflow_claim,moderate,supported,low,Linked to 6 structured table or results evidence item(s).,No revision needed for the synthetic benchmark scope.
