claim_id,text,source_section,source_line,claim_type,strength,polarity,requires_evidence,status,risk_level,reason,missing_evidence,supporting_evidence_ids,contradicting_evidence_ids,suggested_revision
C001,The proposed harness improves macro F1 and recall over a baseline rules-only workflow in the accompanying synthetic table.,Abstract,5,performance_claim,strong,positive,table,weakly_supported,low,Required evidence is missing: table.,table,E001;S005;S006;S007,,Add the missing evidence or narrow the wording to the evidence available.
C002,"It enables auditable review by recording intermediate evidence, low-confidence statements, and replayable trace notes.",Abstract,5,workflow_claim,moderate,positive,trace,weakly_supported,low,Only narrative or topically related evidence is available; no strong relation was verified.,,S001;S002;S003,,Add verifiable evidence or narrow the wording.
C003,The workflow is ready for real-world operational deployment.,Abstract,5,deployment_claim,high,positive,external_validation;human_review,overclaimed,high,"High-risk readiness or deployment language is missing required evidence: external_validation, human_review.",external_validation;human_review,S011,,Remove readiness/deployment language or add independently reviewable external validation and a documented human-review decision.
C004,"Report review requires reliable boundaries around what a measurement table supports, what a method note explains, and what still needs reviewer judgement.",Introduction,9,robustness_claim,moderate,positive,robustness_test,weakly_supported,low,Required evidence is missing: robustness_test.,robustness_test,S008,,Add the missing evidence or narrow the wording to the evidence available.
C005,"A lightweight harness reduces the risk of opaque model output by separating the task specification, selected context, evidence table, and review decision.",Introduction,9,workflow_claim,weak,positive,trace,needs_human_review,low,Provided evidence conflicts with the claim: S012.,trace,,S012,Resolve the conflicting evidence or narrow the claim before publication.
C006,"The first design goal is to make every report claim traceable to a table row, a text passage, or a limitation statement.",Introduction,9,novelty_claim,weak,positive,citation,unsupported,low,Required evidence is missing: citation.,citation,,,Add the missing evidence or narrow the wording to the evidence available.
C007,"The workflow uses an explainable evidence summary, a confidence note, and a structured trace replay for each synthetic report section.",Methods,13,workflow_claim,weak,positive,trace,weakly_supported,low,Required evidence is missing: trace.,trace,S003;S007,,Add the missing evidence or narrow the wording to the evidence available.
C008,The human review gate supports manual inspection when evidence confidence is low or when the model highlights an ambiguous claim.,Methods,13,workflow_claim,moderate,positive,trace,weakly_supported,low,Required evidence is missing: trace.,trace,,,Add the missing evidence or narrow the wording to the evidence available.
C009,"Trace replay enables reviewers to see which table metrics, ablation rows, and limitation notes were available before a claim was labeled.",Methods,13,workflow_claim,moderate,positive,trace,weakly_supported,low,Only narrative or topically related evidence is available; no strong relation was verified.,,S001;S007;S009;S010,,Add verifiable evidence or narrow the wording.
C010,"The evidence_guided_reviewer_v1 model outperforms the baseline_rules model on macro F1, precision, and recall in the synthetic metric table.",Results,17,performance_claim,strong,positive,table,supported,low,All evidence requirements are met with 3 independently verifiable strong evidence item(s).,,E001;E002;E003;S006,,No revision needed within the evidenced scope.
C011,Adding the human review gate increases macro F1 from 0.86 to 0.88 and recall from 0.83 to 0.85 in the controlled benchmark.,Results,17,performance_claim,strong,positive,table,supported,low,All evidence requirements are met with 2 independently verifiable strong evidence item(s).,,E002;E003;S005,,No revision needed within the evidenced scope.
C012,"The full harness improves workflow success rate from 0.70 in the answer-only setting to 0.86 when evidence logging, human review, and trace replay are all enabled.",Results,17,performance_claim,strong,positive,table,supported,low,All evidence requirements are met with 4 independently verifiable strong evidence item(s).,,E005;E006;E007;E008;S001;S003,,No revision needed within the evidenced scope.
C013,The compact reviewer is less reliable around ambiguous limitation statements despite being faster in informal synthetic checks.,Results,17,robustness_claim,moderate,positive,robustness_test,weakly_supported,low,Required evidence is missing: robustness_test.,robustness_test,,,Add the missing evidence or narrow the wording to the evidence available.
C014,The table evidence supports claims about review metrics and workflow ablation under the synthetic benchmark.,Discussion,21,workflow_claim,moderate,positive,trace,weakly_supported,low,Required evidence is missing: trace.,trace,S003,,Add the missing evidence or narrow the wording to the evidence available.
C015,The workflow is robust to missing trace commentary only in the narrow sense that CSV metrics can still be inspected manually.,Discussion,21,robustness_claim,moderate,positive,robustness_test,weakly_supported,low,Required evidence is missing: robustness_test.,robustness_test,S003,,Add the missing evidence or narrow the wording to the evidence available.
C016,"ClaimHarness enables a compact demonstration of claim extraction, evidence linking, conservative verification, human-review routing, and trace logging for technical or scientific writing.",Conclusion,25,workflow_claim,moderate,positive,trace,weakly_supported,low,Only narrative or topically related evidence is available; no strong relation was verified.,,S001;S003;S007,,Add verifiable evidence or narrow the wording.
